autoid,From,To,Date,Subject
945,Varro.Awelon@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,1/16/14 12:36,RE: Favor - borrow hedge trimmer
946,Orhan.Strum@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,1/16/14 12:36,RE: Plants
947,Gustav.Cazar@gastech.com.kronos,"Elsa.Orilla@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos",1/16/14 12:39,RE: Downhole prediction 2522-00
948,Carla.Forluniau@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,1/16/14 12:41,RE: Favor - borrow hedge trimmer
949,Valeria.Morlun@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",1/16/14 12:43,Union meeting
950,Gustav.Cazar@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1/16/14 12:51,RE: Plants
951,Cornelia.Lais@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/16/14 12:51,RE: Training opportunity
952,Ada.Campo-Corrente@gastech.com.kronos,"Willem.Vasco-Pais@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",1/16/14 12:56,RE: Recommend a good vacation spot?
953,Willem.Vasco-Pais@gastech.com.kronos,"Willem.Vasco-Pais@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",1/16/14 12:58,RE: Recommend a good vacation spot?
954,Kare.Orilla@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,1/16/14 13:14,RE: Ha ha
955,Dylan.Scozzese@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Emile.Arpa@gastech.com.kronos",1/16/14 13:26,"Guys night out - sorry, ladies"
956,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 13:38,Conference report
957,Isia.Vann@gastech.com.kronos,"Hennie.Osvaldo@gastech.com.kronos, Isia.Vann@gastech.com.kronos",1/16/14 13:38,RE: Vacation scheduling procedures
958,Henk.Mies@gastech.com.kronos,"Valeria.Morlun@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",1/16/14 13:42,RE: Funny!!
959,Isia.Vann@gastech.com.kronos,"Hennie.Osvaldo@gastech.com.kronos, Isia.Vann@gastech.com.kronos",1/16/14 13:42,RE: Vacation scheduling procedures
960,Willem.Vasco-Pais@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",1/16/14 13:44,RE: Registration open: retirement planning seminar
961,Felix.Balas@gastech.com.kronos,"Elsa.Orilla@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos",1/16/14 13:46,Downhole prediction 2522-00 - updated
962,Lidelse.Dedos@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,1/16/14 13:50,RE: Ha ha
963,Hennie.Osvaldo@gastech.com.kronos,"Hennie.Osvaldo@gastech.com.kronos, Isia.Vann@gastech.com.kronos",1/16/14 13:53,RE: Vacation scheduling procedures
964,Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/16/14 13:54,Anyone have time to help troubleshoot some software?
965,Kare.Orilla@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,1/16/14 13:57,RE: Ha ha
966,Rachel.Pantanal@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/16/14 13:59,RE: Training opportunity
967,Lidelse.Dedos@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,1/16/14 14:16,RE: Ha ha
968,Kare.Orilla@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,1/16/14 14:18,RE: Ha ha
969,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/16/14 14:19,Safety First!
970,Lucas.Alcazar@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",1/16/14 14:27,Conference report
971,Henk.Mies@gastech.com.kronos,"Valeria.Morlun@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",1/16/14 14:34,RE: Funny!!
972,Bertrand.Ovan@gastech.com.kronos,"Valeria.Morlun@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",1/16/14 14:36,RE: Funny!!
973,Isak.Baza@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Isak.Baza@gastech.com.kronos",1/16/14 14:54,Web site
974,Sten.Sanjorge.Jr.@gastech.com.tethys,"Willem.Vasco-Pais@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",1/16/14 14:59,RE: Recommend a good vacation spot?
975,Edvard.Vann@gastech.com.kronos,"Felix.Resumir@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Minke.Mies@gastech.com.kronos",1/16/14 15:11,Resolution of incident
976,Ingrid.Barranco@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.tethys",1/16/14 15:12,Maximizing quarterly profits
977,Sten.Sanjorge.Jr.@gastech.com.tethys,"Willem.Vasco-Pais@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.tethys, Ada.Campo-Corrente@gastech.com.kronos",1/16/14 15:14,RE: Recommend a good vacation spot?
978,Carla.Forluniau@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/16/14 15:15,RE: You never get a second chance to make a first impression
979,Hennie.Osvaldo@gastech.com.kronos,"Hennie.Osvaldo@gastech.com.kronos, Isia.Vann@gastech.com.kronos",1/16/14 15:16,RE: Vacation scheduling procedures
980,Dylan.Scozzese@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/16/14 15:18,"RE: Guys night out - sorry, ladies"
981,Felix.Balas@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Vira.Frente@gastech.com.kronos",1/16/14 15:28,Field work rotation schedule
982,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/16/14 15:29,Don't text and drive!
983,Birgitta.Frente@gastech.com.kronos,"Lars.Azada@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos",1/16/14 15:33,Downhole prediction 2522-00 - check your parameters
984,Brand.Tempestad@gastech.com.kronos,"Elsa.Orilla@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos",1/16/14 15:44,RE: Downhole prediction 2522-00 - updated
985,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/16/14 15:48,Mandatory safety training
986,Dylan.Scozzese@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/16/14 15:53,"RE: Guys night out - sorry, ladies"
987,Albina.Hafon@gastech.com.kronos,"Albina.Hafon@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos",1/16/14 16:07,"RE: Guys night out - sorry, ladies"
988,Rachel.Pantanal@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/16/14 16:08,RE: You never get a second chance to make a first impression
989,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 16:12,RE: Conference report
990,Isande.Borrasca@gastech.com.kronos,"Isande.Borrasca@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Felix.Balas@gastech.com.kronos",1/16/14 16:21,Field work rotation schedule
991,Kanon.Herrero@gastech.com.kronos,"Kanon.Herrero@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Varja.Lagos@gastech.com.kronos",1/16/14 16:25,Inspection request for site
992,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 16:26,RE: Conference report
993,Lucas.Alcazar@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 16:29,The most creative spam I've seen lately.
994,Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 16:31,RE: Conference report
995,Adan.Morlun@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/16/14 16:37,"RE: Guys night out - sorry, ladies"
996,Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 16:37,RE: Conference report
997,Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 16:41,RE: Conference report
998,Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/16/14 16:49,RE: You never get a second chance to make a first impression
999,Dante.Coginian@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Emile.Arpa@gastech.com.kronos",1/16/14 16:56,"RE: Guys night out - sorry, ladies"
1000,Dylan.Scozzese@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/16/14 17:05,"RE: Guys night out - sorry, ladies"
1001,Dylan.Scozzese@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/16/14 17:05,"RE: Guys night out - sorry, ladies"
1002,Dylan.Scozzese@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Albina.Hafon@gastech.com.kronos",1/16/14 17:09,RE: Union meeting
1003,Nils.Calixto@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 17:19,RE: The most creative spam I've seen lately.
1004,Adra.Nubarron@gastech.com.kronos,"Lars.Azada@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos",1/16/14 17:21,RE: Downhole prediction 2522-00 - check your parameters
1005,Irene.Nant@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Emile.Arpa@gastech.com.kronos",1/16/14 17:29,"RE: Guys night out - sorry, ladies"
1006,Henk.Mies@gastech.com.kronos,"Albina.Hafon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos",1/16/14 17:46,RE: Don't text and drive!
1007,Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/16/14 17:47,RE: Anyone have time to help troubleshoot some software?
1008,Adan.Morlun@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Emile.Arpa@gastech.com.kronos",1/16/14 17:51,"RE: Guys night out - sorry, ladies"
1009,Nils.Calixto@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 18:01,RE: The most creative spam I've seen lately.
1010,Elsa.Orilla@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Vira.Frente@gastech.com.kronos",1/16/14 18:03,RE: Field work rotation schedule
1011,Sven.Flecha@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/16/14 18:13,RE: The most creative spam I've seen lately.
1012,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/16/14 18:13,RE: Anyone have time to help troubleshoot some software?
1013,Axel.Calzas@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Vira.Frente@gastech.com.kronos",1/16/14 18:15,RE: Field work rotation schedule
1014,Gustav.Cazar@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Vira.Frente@gastech.com.kronos",1/16/14 18:22,RE: Field work rotation schedule
1015,Lucas.Alcazar@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",1/16/14 18:24,RE: Conference report
1016,Albina.Hafon@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Emile.Arpa@gastech.com.kronos",1/16/14 18:30,RE: Mandatory safety training
1017,Gustav.Cazar@gastech.com.kronos,"Isande.Borrasca@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Felix.Balas@gastech.com.kronos",1/16/14 18:36,RE: Field work rotation schedule
1018,Kare.Orilla@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Vira.Frente@gastech.com.kronos",1/16/14 18:38,RE: Field work rotation schedule
1019,Inga.Ferro@gastech.com.kronos,"Kanon.Herrero@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Varja.Lagos@gastech.com.kronos",1/16/14 18:39,RE: Inspection request for site
1020,Ingrid.Barranco@gastech.com.kronos,"Ada.Campo-Corrente@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Sten.Sanjorge.Jr.@gastech.com.tethys",1/16/14 18:49,RE: Maximizing quarterly profits
1021,Gustav.Cazar@gastech.com.kronos,"Isande.Borrasca@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Felix.Balas@gastech.com.kronos",1/16/14 18:52,RE: Field work rotation schedule
1022,Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/16/14 18:54,RE: Anyone have time to help troubleshoot some software?
1023,Emile.Arpa@gastech.com.kronos,"Varro.Awelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos",1/16/14 19:02,RE: Mandatory safety training
1024,Lidelse.Dedos@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Vira.Frente@gastech.com.kronos",1/16/14 19:02,RE: Field work rotation schedule
1025,Henk.Mies@gastech.com.kronos,"Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Adan.Morlun@gastech.com.kronos",1/16/14 19:06,RE: Don't text and drive!
1026,Brand.Tempestad@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Vira.Frente@gastech.com.kronos",1/16/14 19:28,RE: Field work rotation schedule
1027,Nils.Calixto@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Isak.Baza@gastech.com.kronos",1/16/14 19:32,RE: Web site
1028,Varro.Awelon@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos",1/16/14 19:39,RE: Don't text and drive!
1029,Elsa.Orilla@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Vira.Frente@gastech.com.kronos",1/16/14 19:56,RE: Field work rotation schedule
